,vectorized
0,"  (0, 30)	0.582395312959625
  (0, 8)	0.5472956425754908
  (0, 77)	0.32850908139873297"
789,"  (0, 97)	0.3937158859279165
  (0, 22)	0.39573081559934137
  (0, 63)	0.28369485140715295
  (0, 23)	0.7796808026610309"
790,"  (0, 60)	0.3682843719297781
  (0, 161)	0.4487384690515425
  (0, 106)	0.4115336854460902
  (0, 185)	0.42410705568752466
  (0, 42)	0.31829687738129037
  (0, 150)	0.24513188395157934
  (0, 155)	0.261059229148385
  (0, 17)	0.1556875319655258
  (0, 156)	0.1800844236949772
  (0, 75)	0.1659824321241133"
791,"  (0, 6)	0.31728815276788447
  (0, 104)	0.2995804252610024
  (0, 60)	0.2937938723093288
  (0, 13)	0.5991608505220049
  (0, 140)	0.3040454175924614
  (0, 99)	0.21231556076951105
  (0, 96)	0.2574885360358651
  (0, 200)	0.24057174042345725
  (0, 10)	0.15700519601433635
  (0, 89)	0.2457468374738453
  (0, 75)	0.13241023835342564"
792,"  (0, 179)	0.8660010899884865
  (0, 30)	0.29122218135928957
  (0, 172)	0.2851735277187079
  (0, 130)	0.2896684523926583"
793,"  (0, 170)	0.3145892204695761
  (0, 104)	0.3011729922672644
  (0, 125)	0.26985861104797
  (0, 166)	0.26931725636719445
  (0, 1)	0.2798032637262567
  (0, 50)	0.3401241989759497
  (0, 151)	0.3135363335475
  (0, 134)	0.2067752220223023
  (0, 99)	0.21344422849438976
  (0, 83)	0.27917549443984563
  (0, 141)	0.21391340191304903
  (0, 199)	0.1760968541070082
  (0, 79)	0.18066176831546213
  (0, 167)	0.2759969947162306
  (0, 156)	0.14442360610578586"
794,"  (0, 73)	0.45553555108301796
  (0, 60)	0.420298523633755
  (0, 35)	0.36325111201324306
  (0, 47)	0.49329448536495574
  (0, 0)	0.224320858688524
  (0, 199)	0.2505902317050833
  (0, 10)	0.22461003549514308
  (0, 66)	0.2774539838361475"
795,"  (0, 131)	0.38603201039498625
  (0, 184)	0.3488543492851639
  (0, 14)	0.3224238569073669
  (0, 7)	0.4266534727277069
  (0, 63)	0.3245191831868786
  (0, 52)	0.257979928865901
  (0, 74)	0.3561831423104653
  (0, 199)	0.2276457038450577
  (0, 167)	0.17839481130968293
  (0, 17)	0.16140750690066877
  (0, 156)	0.18670074278450474"
796,"  (0, 30)	0.582395312959625
  (0, 172)	0.5702990244367228
  (0, 130)	0.5792881167167013"
797,"  (0, 115)	0.6158111231199495
  (0, 133)	0.5365127760340873
  (0, 66)	0.3336342423216499
  (0, 58)	0.4194895542191038
  (0, 17)	0.2136525404610481"
798,"  (0, 69)	0.2750647664061157
  (0, 125)	0.24060577395460753
  (0, 114)	0.20759447176757667
  (0, 134)	0.1843606625562453
  (0, 122)	0.24257651890108944
  (0, 150)	0.1752796921101542
  (0, 155)	0.18666841934230685
  (0, 200)	0.2156338641247973
  (0, 199)	0.1570078483278662
  (0, 201)	0.645519123975077
  (0, 117)	0.16120570362081213
  (0, 79)	0.3221558461354627
  (0, 10)	0.14072990054712775
  (0, 167)	0.12303937655530287
  (0, 17)	0.1113231874548702"
799,"  (0, 43)	0.513244681678905
  (0, 29)	0.517559687581667
  (0, 168)	0.4276461188047891
  (0, 151)	0.4855916235786851
  (0, 156)	0.2236770857734496"
800,"  (0, 104)	0.7022732535763916
  (0, 187)	0.2836582944933576
  (0, 25)	0.2767340533244345
  (0, 141)	0.24940094995596293
  (0, 41)	0.27367686581839173
  (0, 49)	0.26824903864929744
  (0, 79)	0.21063297687591861
  (0, 75)	0.3103946755341974"
801,"  (0, 101)	1.0"
802,"  (0, 165)	0.5829271977900546
  (0, 190)	0.49206590635804365
  (0, 41)	0.38240784835301794
  (0, 105)	0.295253740378646
  (0, 81)	0.3709846833739376
  (0, 75)	0.21685676583645097"
803,"  (0, 162)	0.2530561079774568
  (0, 175)	0.510439814645743
  (0, 184)	0.2052149991562453
  (0, 168)	0.20997812006064515
  (0, 8)	0.4737308147439659
  (0, 61)	0.2376416302455658
  (0, 193)	0.3411962227074836
  (0, 52)	0.15175774931006597
  (0, 41)	0.17850516965384308
  (0, 124)	0.2586487306623717
  (0, 66)	0.14826930243490943
  (0, 17)	0.18989725345437203
  (0, 156)	0.10982747628487692"
804,"  (0, 134)	0.36346667158287543
  (0, 118)	0.5978656887296018
  (0, 122)	0.4782391140639383
  (0, 200)	0.42512172492373734
  (0, 117)	0.31781671709579784"
805,"  (0, 162)	0.3707061012844294
  (0, 108)	0.3230651546515418
  (0, 56)	0.2640448346784453
  (0, 144)	0.4009046239484477
  (0, 41)	0.2614951918385891
  (0, 155)	0.23323129017936634
  (0, 199)	0.19617213861249577
  (0, 10)	0.1758337933490046
  (0, 167)	0.4611915497752487
  (0, 17)	0.13909182243283874
  (0, 156)	0.32177619321563083"
806,"  (0, 185)	0.7352606041705313
  (0, 136)	0.6777845114450354"
807,"  (0, 103)	0.48082018298329254
  (0, 194)	0.4371494586687285
  (0, 195)	0.47608730000886135
  (0, 193)	0.3096136445039303
  (0, 77)	0.25803160368860945
  (0, 17)	0.1723195534134063
  (0, 156)	0.3986455058546449"
808,"  (0, 13)	0.28269792307800024
  (0, 71)	0.30496498156365365
  (0, 35)	0.23960783017446793
  (0, 166)	0.2527963362548384
  (0, 1)	0.2626390930022857
  (0, 38)	0.302682705139135
  (0, 8)	0.29237175459538584
  (0, 4)	0.2253586843083916
  (0, 0)	0.14796660611811463
  (0, 83)	0.26204983341395227
  (0, 26)	0.27874972286365096
  (0, 119)	0.21135515787552897
  (0, 116)	0.2543332869936523
  (0, 124)	0.31925971819459403
  (0, 17)	0.11719861038658902
  (0, 75)	0.1249484152516459"
809,"  (0, 166)	1.0"
810,"  (0, 103)	0.3992607633013402
  (0, 80)	0.41486040636930166
  (0, 28)	0.2629919531737549
  (0, 108)	0.3323510264878379
  (0, 187)	0.27882262646477735
  (0, 25)	0.2720164263765938
  (0, 150)	0.22529651437534232
  (0, 199)	0.4036214410464662
  (0, 79)	0.2070422087869304
  (0, 10)	0.1808877895662374
  (0, 17)	0.14308974303180058
  (0, 156)	0.1655125081965465"
811,"  (0, 12)	0.4197498469684043
  (0, 73)	0.37118543739776466
  (0, 162)	0.3858559470961191
  (0, 113)	0.313541421889273
  (0, 122)	0.31547154191141136
  (0, 155)	0.2427628788757385
  (0, 117)	0.20964853530158886
  (0, 17)	0.14477616282061034
  (0, 30)	0.2703403808914519
  (0, 172)	0.2647254400190122
  (0, 130)	0.26889806053425713"
812,"  (0, 70)	0.4755391131411539
  (0, 184)	0.38070050491020285
  (0, 8)	0.43941612724720036
  (0, 0)	0.22238438563367283
  (0, 118)	0.47982702415712447
  (0, 117)	0.2550690773298978
  (0, 10)	0.22267106609154674
  (0, 156)	0.2037442479671376"
813,"  (0, 199)	0.41240573352855614
  (0, 79)	0.4230964230481336
  (0, 119)	0.5273262049535817
  (0, 174)	0.6106046194763856"
814,"  (0, 39)	0.4762364536718525
  (0, 84)	0.4472635283587891
  (0, 112)	0.4789077390099592
  (0, 0)	0.2109810615879422
  (0, 150)	0.26311656567736597
  (0, 79)	0.24179794826082524
  (0, 10)	0.21125304177740742
  (0, 75)	0.35632025340204077"
815,"  (0, 115)	0.4959972578915593
  (0, 153)	0.44950508924490645
  (0, 140)	0.42127432610688975
  (0, 4)	0.33089609639044754
  (0, 0)	0.2172606416783375
  (0, 21)	0.46665343033267126"
816,"  (0, 78)	0.3651605952227432
  (0, 1)	0.29178015670409124
  (0, 114)	0.24280017583566957
  (0, 122)	0.28371478749555085
  (0, 105)	0.3779893493069179
  (0, 91)	0.34701398855498483
  (0, 10)	0.16459612005677535
  (0, 66)	0.4066412182612619
  (0, 167)	0.14390548075762677
  (0, 23)	0.3597252156775456
  (0, 17)	0.13020235682813247
  (0, 75)	0.13881203961413244"
817,"  (0, 117)	0.361603876728644
  (0, 66)	0.3899427621322639
  (0, 167)	0.27599219229442307
  (0, 30)	0.46628577502829033
  (0, 172)	0.45660106922218724
  (0, 130)	0.4637980465454941"
818,"  (0, 55)	0.7112514263119164
  (0, 14)	0.26196419652914943
  (0, 1)	0.293883637922875
  (0, 114)	0.24455055398186296
  (0, 134)	0.2171806492567439
  (0, 119)	0.23649877091862886
  (0, 174)	0.27384802929737545
  (0, 167)	0.2898858282880526
  (0, 17)	0.13114100260625203"
819,"  (0, 60)	0.2804833855262118
  (0, 94)	0.24324859257570686
  (0, 4)	0.22799720393221923
  (0, 63)	0.23839345595885553
  (0, 193)	0.21304101177076307
  (0, 68)	0.3398030847280474
  (0, 141)	0.20314204072296999
  (0, 96)	0.24582288171581518
  (0, 49)	0.21849418433576526
  (0, 199)	0.334459402620632
  (0, 105)	0.34422182440110416
  (0, 117)	0.17170085414923225
  (0, 79)	0.1715647545596096
  (0, 10)	0.2997839851264266
  (0, 75)	0.25282264493657525"
820,"  (0, 94)	0.5513555082370319
  (0, 105)	0.390112429694492
  (0, 10)	0.6795005460484254
  (0, 75)	0.28652818998213075"
821,"  (0, 99)	0.7537376795586443
  (0, 167)	0.4873154355823657
  (0, 17)	0.44091175608813116"
822,"  (0, 138)	0.39028719445324744
  (0, 70)	0.3919960098232522
  (0, 65)	0.4115351963371802
  (0, 114)	0.27076254936500516
  (0, 0)	0.18331571348479048
  (0, 155)	0.2434689935464501
  (0, 200)	0.28124821572910613
  (0, 199)	0.4095662559951355
  (0, 10)	0.18355202968355397
  (0, 167)	0.16047852808765353
  (0, 156)	0.1679502905660052
  (0, 75)	0.15479849468443832"
823,"  (0, 43)	0.33333234627062575
  (0, 143)	0.32805524550910503
  (0, 69)	0.3103141021482612
  (0, 163)	0.28810583426100345
  (0, 187)	0.24472125490582677
  (0, 114)	0.23419754176144394
  (0, 193)	0.2256512335608847
  (0, 160)	0.3074520306540545
  (0, 200)	0.2432671759924788
  (0, 199)	0.35425656379528886
  (0, 174)	0.26225471271031237
  (0, 77)	0.18805744095457305
  (0, 167)	0.13880677690384022
  (0, 17)	0.12558916728846647
  (0, 75)	0.13389380107584772"
824,"  (0, 170)	0.41035036220232896
  (0, 109)	0.4036900100137279
  (0, 134)	0.2697177199036437
  (0, 200)	0.3154700865105034
  (0, 79)	0.23565531569614817
  (0, 119)	0.29370899051314064
  (0, 174)	0.34009321877879395
  (0, 57)	0.4544383571452786
  (0, 167)	0.18000532023873403"
825,
826,"  (0, 12)	0.4437043526395744
  (0, 123)	0.42920548675001435
  (0, 35)	0.31288068113242284
  (0, 159)	0.36299898744852366
  (0, 183)	0.407876177811449
  (0, 146)	0.37351938459916445
  (0, 167)	0.16914481661663455
  (0, 17)	0.15303832524516892
  (0, 156)	0.17702007512793863"
827,"  (0, 101)	0.3887887137563951
  (0, 38)	0.43876369304816076
  (0, 193)	0.30524676500866976
  (0, 0)	0.21448987155821642
  (0, 68)	0.48687241715136287
  (0, 128)	0.38157943233441255
  (0, 66)	0.26529440777044977
  (0, 167)	0.18776905821675952
  (0, 17)	0.16988910909096974"
828,"  (0, 77)	1.0"
829,"  (0, 157)	0.47539004232558146
  (0, 14)	0.3635454507599752
  (0, 95)	0.3254036991912762
  (0, 128)	0.4087659327601355
  (0, 155)	0.30516905466421007
  (0, 10)	0.23006789720655133
  (0, 119)	0.3282053556056315
  (0, 17)	0.18199324769291506
  (0, 156)	0.21051235582829517
  (0, 75)	0.19402762379793626"
830,"  (0, 197)	0.7662392228428455
  (0, 77)	0.50850671828389
  (0, 156)	0.3928083130960197"
831,"  (0, 28)	0.31451554843283935
  (0, 46)	0.43262380086986585
  (0, 112)	0.4904082816717179
  (0, 164)	0.3019751100616935
  (0, 150)	0.26943507557416485
  (0, 174)	0.35733806695545245
  (0, 167)	0.1891327131037085
  (0, 58)	0.3359860554341815
  (0, 75)	0.18243848340911029"
832,"  (0, 92)	0.4340468179299039
  (0, 46)	0.45881671663101165
  (0, 63)	0.3648830019960067
  (0, 113)	0.39303827881258185
  (0, 0)	0.22912803881377572
  (0, 120)	0.3922449852624949
  (0, 119)	0.3272859605804477"
833,"  (0, 15)	0.2802492260752085
  (0, 183)	0.5908813859521455
  (0, 137)	0.5061471483286402
  (0, 10)	0.1401338083609887
  (0, 119)	0.3998182011825685
  (0, 167)	0.12251821644173144
  (0, 156)	0.25644514934456963
  (0, 75)	0.23636352729061896"
834,"  (0, 54)	0.3632223408143237
  (0, 28)	0.5791721208891345
  (0, 26)	0.3747448541410466
  (0, 122)	0.3433261019793014
  (0, 199)	0.4444361951499799
  (0, 79)	0.22797860111231746
  (0, 17)	0.1575591742429774"
835,"  (0, 19)	0.22131072058697798
  (0, 33)	0.21010321697503134
  (0, 126)	0.1977877583966189
  (0, 104)	0.1893527405078564
  (0, 16)	0.21384204707168147
  (0, 35)	0.16049074148365153
  (0, 168)	0.17360282773877167
  (0, 65)	0.22249485886192125
  (0, 25)	0.14923066234396737
  (0, 0)	0.0991089077240268
  (0, 42)	0.32098148296730306
  (0, 83)	0.17552252795599171
  (0, 141)	0.13449110618673826
  (0, 41)	0.14758205382992376
  (0, 74)	0.17322918857683992
  (0, 150)	0.24719939535910693
  (0, 105)	0.22789361459873808
  (0, 10)	0.2977100133967706
  (0, 77)	0.23509304241386686
  (0, 17)	0.2355009667434675
  (0, 81)	0.14317352990419502
  (0, 75)	0.3347647494882353"
836,"  (0, 171)	0.32934371962043074
  (0, 162)	0.3552451775308581
  (0, 94)	0.27344671212467664
  (0, 25)	0.2533883722146629
  (0, 4)	0.256301938394488
  (0, 193)	0.2394890083415333
  (0, 68)	0.3819879708442233
  (0, 155)	0.22350398549806708
  (0, 200)	0.25818522602831007
  (0, 199)	0.18799044840789972
  (0, 117)	0.19301667293920113
  (0, 77)	0.19958982423778854
  (0, 167)	0.29463785176087387
  (0, 17)	0.13329076317341912
  (0, 156)	0.15417798693901855"
837,"  (0, 92)	0.371932264748297
  (0, 191)	0.3541877347420705
  (0, 54)	0.35850327087873096
  (0, 195)	0.429651469545998
  (0, 109)	0.38546541274091717
  (0, 0)	0.19633852126778142
  (0, 105)	0.22573296550335523
  (0, 10)	0.19659162544600398
  (0, 89)	0.3077080979077074
  (0, 17)	0.15551212845669704
  (0, 75)	0.16579542998829072"
838,"  (0, 185)	0.42887615439780813
  (0, 25)	0.29929320945410115
  (0, 0)	0.19877029701740412
  (0, 99)	0.26914033218069805
  (0, 42)	0.32187613692684436
  (0, 83)	0.3520235044079704
  (0, 160)	0.3854210421142396
  (0, 128)	0.3536141662533351
  (0, 150)	0.24788840058087158
  (0, 117)	0.22798433494488168"
839,"  (0, 171)	0.30416858407194836
  (0, 179)	0.6835540678793561
  (0, 8)	0.30709869878486945
  (0, 159)	0.29199151656196803
  (0, 25)	0.2340192868582901
  (0, 52)	0.1967556506486907
  (0, 77)	0.18433311648858636
  (0, 66)	0.19223283953825146
  (0, 17)	0.12310197610889322
  (0, 156)	0.28478514808998007"
840,"  (0, 24)	0.4402009337461621
  (0, 104)	0.36623313135129254
  (0, 94)	0.3114799713322128
  (0, 68)	0.4351180574939945
  (0, 141)	0.26012350719383814
  (0, 199)	0.4282754692923457
  (0, 105)	0.2203881281718169
  (0, 10)	0.19193678800828828
  (0, 17)	0.1518299590055985
  (0, 75)	0.1618697756133355"
841,"  (0, 107)	0.6218181483837913
  (0, 30)	0.45610968180139216
  (0, 172)	0.4466363323660727
  (0, 130)	0.4536762448246206"
842,"  (0, 162)	0.41249607379234404
  (0, 41)	0.290973737889014
  (0, 155)	0.5190472514543016
  (0, 199)	0.4365735372831904
  (0, 77)	0.2317554862791635
  (0, 66)	0.24168752774692231
  (0, 167)	0.34212134246752424
  (0, 17)	0.15477174627386625
  (0, 156)	0.17902513052982422"
843,"  (0, 184)	0.539696889791741
  (0, 26)	0.593911158362814
  (0, 116)	0.5418888870519455
  (0, 17)	0.24970630190458853"
844,"  (0, 94)	0.5484177621369806
  (0, 42)	0.5465342772177904
  (0, 150)	0.4209057221068002
  (0, 199)	0.37702885588904494
  (0, 75)	0.28500150337049923"
845,"  (0, 37)	0.38086993321065515
  (0, 115)	0.42506075890836537
  (0, 44)	0.42263083281641445
  (0, 29)	0.3947051636072059
  (0, 0)	0.18618847536633554
  (0, 155)	0.24728442448088778
  (0, 89)	0.29180061679884184
  (0, 136)	0.3703254442525922
  (0, 17)	0.14747267072891776"
846,"  (0, 95)	0.6631864376878377
  (0, 141)	0.6354634141245545
  (0, 75)	0.3954364654101602"
847,"  (0, 171)	0.3381917209412184
  (0, 135)	0.37815136832428803
  (0, 20)	0.36034586211961683
  (0, 5)	0.36034586211961683
  (0, 187)	0.26670622370862784
  (0, 25)	0.26019579108577867
  (0, 42)	0.2798286544224402
  (0, 150)	0.2155061205958292
  (0, 200)	0.26512151503220893
  (0, 199)	0.3860818317158216"
848,"  (0, 179)	1.0"
849,"  (0, 138)	0.41452162981407525
  (0, 70)	0.4163365521130711
  (0, 94)	0.31636904932434
  (0, 45)	0.3885521416758048
  (0, 76)	0.3293720234113492
  (0, 17)	0.1542131251139841
  (0, 75)	0.16441052953133833
  (0, 30)	0.28796201093845125
  (0, 172)	0.28198107068973033
  (0, 130)	0.28642567563735527"
850,"  (0, 31)	0.5459551367734851
  (0, 99)	0.39023472740512133
  (0, 141)	0.39109250539437734
  (0, 119)	0.41166861267393534
  (0, 174)	0.47668170902727386"
851,"  (0, 189)	0.6818251196745752
  (0, 72)	0.40043629317028656
  (0, 117)	0.2034734695838131
  (0, 120)	0.3036920563530369
  (0, 77)	0.21040272538568996
  (0, 23)	0.38820851404025497
  (0, 17)	0.14051187202316398
  (0, 156)	0.16253067394759005"
852,"  (0, 67)	0.5313937204327934
  (0, 34)	0.5640667421960174
  (0, 71)	0.27062839026372887
  (0, 28)	0.19115241983041178
  (0, 3)	0.2666488475402535
  (0, 134)	0.17223780053348342
  (0, 150)	0.16375396046338644
  (0, 105)	0.15096510208144875
  (0, 10)	0.13147603292073348
  (0, 17)	0.10400299440100913
  (0, 30)	0.19420468516670567
  (0, 172)	0.19017107457266105
  (0, 130)	0.19316856407390076"
853,"  (0, 185)	0.7450183098214501
  (0, 79)	0.3957269893908882
  (0, 58)	0.5369803235672734"
854,"  (0, 108)	0.635296439797713
  (0, 9)	0.6259447643289857
  (0, 10)	0.34577106599823854
  (0, 75)	0.2916058221433912"
855,"  (0, 139)	0.5674059695991266
  (0, 13)	0.4880103079147859
  (0, 185)	0.5511254970838384
  (0, 81)	0.3689947038864962"
856,"  (0, 161)	0.6379144727229501
  (0, 28)	0.4067775199629563
  (0, 46)	0.5595323909157084
  (0, 17)	0.2213211853069775
  (0, 156)	0.2560031468436522"
857,"  (0, 184)	0.3998282289148397
  (0, 31)	0.44243821336019784
  (0, 28)	0.3400063261020154
  (0, 7)	0.48899520017633813
  (0, 137)	0.422335572421929
  (0, 119)	0.33361335615291715"
858,"  (0, 52)	0.5758323826093362
  (0, 155)	0.6041142948279097
  (0, 17)	0.3602748077272223
  (0, 156)	0.4167313869150552"
859,"  (0, 111)	0.5075066226155094
  (0, 51)	0.5101039019961535
  (0, 118)	0.49546758690370396
  (0, 110)	0.4387263716269153
  (0, 156)	0.21038554688143377"
860,"  (0, 165)	0.3944365548933718
  (0, 35)	0.2813883213711268
  (0, 31)	0.32917520431864
  (0, 96)	0.28534623414483606
  (0, 150)	0.2167072762609869
  (0, 155)	0.2307877440484822
  (0, 105)	0.19978286931171574
  (0, 79)	0.199148900557446
  (0, 167)	0.3042397877946176
  (0, 58)	0.2702343886728754
  (0, 156)	0.31840496900580034
  (0, 177)	0.32735539795238133
  (0, 75)	0.1467357089292218"
861,"  (0, 35)	0.3629018363236596
  (0, 1)	0.3977842004224541
  (0, 9)	0.4062175964019394
  (0, 96)	0.36800629057602197
  (0, 41)	0.333712697992315
  (0, 150)	0.27948376861059143
  (0, 199)	0.25034928247440763
  (0, 66)	0.277187204387091
  (0, 167)	0.19618649618327105
  (0, 156)	0.2053207954469133"
862,"  (0, 13)	0.5787209896523723
  (0, 15)	0.3032782937263611
  (0, 185)	0.32678397148806515
  (0, 48)	0.3400068162937243
  (0, 63)	0.24118801744553023
  (0, 141)	0.411046736704622
  (0, 52)	0.19173494451967243
  (0, 117)	0.17371361323401774
  (0, 10)	0.15164909779872943
  (0, 17)	0.11996072530411846
  (0, 156)	0.1387590760139177"
863,"  (0, 35)	0.31767968808957514
  (0, 25)	0.2953911847410927
  (0, 0)	0.19617883624691548
  (0, 190)	0.7517950951636594
  (0, 41)	0.2921278847296304
  (0, 199)	0.21915260274127663
  (0, 117)	0.22501199718033194
  (0, 17)	0.15538564814444264"
864,"  (0, 37)	0.5225694385126148
  (0, 18)	0.5285348983345836
  (0, 38)	0.2612847192563074
  (0, 114)	0.18865964745206104
  (0, 95)	0.36178126539716055
  (0, 113)	0.21910219524760166
  (0, 117)	0.14650202846641477
  (0, 66)	0.15798338821749708
  (0, 156)	0.11702298815682874
  (0, 75)	0.32357757195482806"
865,"  (0, 67)	0.33127759856493916
  (0, 170)	0.3267228128365845
  (0, 194)	0.32896286469921693
  (0, 125)	0.280266959999964
  (0, 140)	0.3174509823831652
  (0, 144)	0.37375839689096246
  (0, 122)	0.2825625603341022
  (0, 137)	0.2960438969099149
  (0, 155)	0.21743863232034033
  (0, 10)	0.1639276595867639
  (0, 77)	0.19417344308474166
  (0, 66)	0.20249488012866182
  (0, 17)	0.1296735768750454
  (0, 75)	0.13824829387570492"
866,"  (0, 99)	0.7722063781079956
  (0, 52)	0.3609915450902454
  (0, 105)	0.3278427338333964
  (0, 119)	0.40731014700757634"
867,"  (0, 147)	0.32146880185420934
  (0, 16)	0.30204177272804716
  (0, 31)	0.26518254604905317
  (0, 166)	0.23916281694838565
  (0, 45)	0.2793658496450706
  (0, 114)	0.20676427275997156
  (0, 56)	0.2104851327218793
  (0, 193)	0.19921905607417403
  (0, 42)	0.22668557810761927
  (0, 150)	0.1745787243762634
  (0, 155)	0.18592190651289633
  (0, 200)	0.21477151447512602
  (0, 199)	0.3127599044493393
  (0, 10)	0.2803342044174288
  (0, 119)	0.19995659621872713
  (0, 66)	0.1731441822038144
  (0, 167)	0.12254732506933204
  (0, 17)	0.22175598125945142"
868,"  (0, 0)	0.40553748793324396
  (0, 158)	0.8423198919922957
  (0, 167)	0.35501626080347537"
869,"  (0, 67)	0.4775192028012971
  (0, 13)	0.45086904316330134
  (0, 0)	0.23598886540877856
  (0, 190)	0.4521773982394755
  (0, 150)	0.2943040448138717
  (0, 17)	0.18691762836365203
  (0, 156)	0.43241681536519977"
870,"  (0, 125)	0.3795549834108203
  (0, 163)	0.4028600085876449
  (0, 8)	0.4380939314149258
  (0, 199)	0.24767947289034983
  (0, 186)	0.383457368996427
  (0, 117)	0.2543015787105356
  (0, 167)	0.1940942969063414
  (0, 58)	0.3448000936996753
  (0, 17)	0.17561203903462583
  (0, 156)	0.2031311849073002"
871,"  (0, 149)	0.37419136731712754
  (0, 95)	0.24098117778302197
  (0, 42)	0.27554621897534554
  (0, 83)	0.30135426178584
  (0, 96)	0.2794219587164822
  (0, 74)	0.29741683219388493
  (0, 150)	0.2122080628904442
